,Artiste,Titre,Catégorie,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
13, Clark Terry,Swahili,jazz,3XcolyPDfgNsoEUyucOPrL,0.551,0.551,3,-12.876,1,0.0446,0.769,0.861,0.105,0.485,120.212,367440,4
14, Miles Davis,So What,jazz,4vLYewWIvqHfKtJDk8c8tq,0.517,0.151,0,-17.266,1,0.0373,0.705,0.00136,0.116,0.21,136.356,562640,4
15, Jackie McLean,Greasy,jazz,5rcEapnWT4NrPSFT5co106,0.62,0.324,3,-14.199,1,0.0606,0.682,0.00108,0.112,0.596,78.89,445427,4
16, Sonny Rollins,There's No Business Like Show Business,jazz,3AJSnSiVDz37q85LP2Rop0,0.394,0.441,8,-14.237,1,0.0371,0.692,0.0375,0.105,0.629,90.058,378960,4
17, Lee Morgan,Since I Fell For You - Rudy Van Gelder Edition / 2007 / Digital Remaster,jazz,6MXrGG7nff0FXBQJa5UF9P,0.416,0.201,8,-11.461,1,0.0379,0.975,0.803,0.107,0.372,165.869,339333,3
18, Freddie Hubbard,Mirrors - Remastered 2004,jazz,4WU6x0MauVlAkpV6aTX4FM,0.406,0.208,1,-13.767,0,0.0413,0.962,0.929,0.181,0.291,102.778,368107,4
19, Art Blakey & The Jazz Messengers,Free For All - 2004 Remaster/Rudy Van Gelder Edition,jazz,60HyLH6b6ClXi7jnT4XTZq,0.334,0.806,1,-8.993,1,0.132,0.258,0.0,0.112,0.395,127.759,669267,1
20, John Coltrane,"Alabama - Live At Birdland Jazzclub, New York City, NY, 10/18/1963",jazz,013grywiX7Qu6WVfnJ1opa,0.428,0.0768,0,-17.412,0,0.0413,0.774,0.0487,0.123,0.112,107.712,308933,4
21, Miles Davis,'Round Midnight,jazz,5vb7At47uO0yPGfmYnAHuw,0.495,0.182,10,-11.116,0,0.0467,0.79,0.000368,0.129,0.203,112.89,355333,4
22, Herbie Hancock,Tell Me a Bedtime Story,jazz,6eimz6jvlZaPwtflDWCTa0,0.398,0.527,4,-16.591,0,0.0297,0.713,0.934,0.119,0.353,118.504,301867,4
23, Freddie Hubbard,Red Clay,jazz,2JdllRPH6a8NCpt2bpxpns,0.519,0.379,9,-14.368,1,0.0353,0.407,0.288,0.161,0.598,139.749,729760,4
24, Art Blakey & The Jazz Messengers,Quick Trick,jazz,2EW1mFJaikQh0vxOoB7uGp,0.611,0.291,2,-18.392,1,0.0647,0.765,0.000133,0.0571,0.534,83.443,283740,4
25, John Coltrane,Naima,jazz,1hVRTl4yhWmGW7ImZoO22e,0.303,0.0141,10,-19.759,0,0.0418,0.948,0.0944,0.0792,0.157,171.439,258266,3
26, Miles Davis,Blue in Green,jazz,0aWMVrwxPNYkKmFthzmpRi,0.421,0.0161,2,-25.358,0,0.0374,0.81,0.0021,0.0978,0.16,110.926,337733,4
27, McCoy Tyner,When Sunny Gets Blue,jazz,1J9iVCaEriyoMXpj2XszhU,0.427,0.114,2,-22.546,0,0.0509,0.843,0.863,0.0966,0.114,60.484,282320,4
28, Wes Montgomery,A Day In The Life,jazz,6f7r5i4xVwePkHDHwwMK75,0.476,0.251,9,-13.854,0,0.0278,0.769,0.774,0.0637,0.37,98.833,354973,4
29, Art Blakey & The Jazz Messengers,Close Your Eyes,jazz,3vlX5kFfQHDloPDV1cGENX,0.565,0.222,5,-19.933,0,0.0646,0.799,0.000213,0.0934,0.689,99.198,386700,4
30, Duke Ellington John Coltrane,In A Sentimental Mood,jazz,0E8q2Fx2XuzXCO2NSAppkR,0.464,0.305,3,-12.435,0,0.0316,0.936,0.0846,0.208,0.282,108.229,255227,4
31, Mal Waldron,All Alone,jazz,6TAW00MAPvS59yEoIgtOEI,0.492,0.205,9,-8.488,0,0.0577,0.983,0.893,0.122,0.109,128.315,310055,4
35, Keith Jarrett Jan Garbarek Palle Danielsson Jon Christensen,Questar,jazz,1ChYuSIoOFDVY6fHSXF6zS,0.468,0.391,2,-13.196,0,0.0269,0.658,0.0617,0.111,0.342,142.413,550493,4
36, Billie Holiday,Strange Fruit,jazz,6fBgbPzBpuBjIf4uEqAo4H,0.33,0.0508,11,-22.43,1,0.033,0.988,0.0922,0.147,0.054,77.018,192867,3
37, Art Blakey & The Jazz Messengers,Hipsippy Blues,jazz,3iFlfQ0CXc9URaAvai8VUe,0.573,0.247,5,-19.282,0,0.0627,0.713,5.64e-05,0.103,0.604,138.234,400447,4
38, John Coltrane,Blue World,jazz,5z8eOnPiOC22EYpniAX3Qg,0.477,0.733,8,-8.301,1,0.0682,0.732,0.0756,0.153,0.385,120.42,368253,3
39, Duke Ellington,Jack the Bear,jazz,2Sg3qUH02hlzKchItbq389,0.533,0.28,1,-12.809,1,0.0653,0.466,9.83e-05,0.344,0.61,78.352,199413,4
40, Horace Silver,Serenade To A Soul Sister - Remastered,jazz,1duGF26RKaTntfsJ0cTkzj,0.487,0.535,8,-8.47,0,0.0305,0.73,0.00414,0.0903,0.591,144.548,379000,3
41, Art Tatum,Tea for Two,jazz,0Otf1ZfYNIjhqFIuJk0fsy,0.358,0.452,1,-13.02,1,0.0347,0.991,0.864,0.14,0.525,166.973,193867,4
42, Lester Young,These Foolish Things (Remastered),jazz,0ldmR2mJJNEoBIINfZWdv6,0.593,0.103,10,-14.961,1,0.081,0.986,0.6,0.12,0.443,66.283,190933,4
43, Stanley Turrentine,Journey Into Melody - 2007 Digital Remaster/Rudy Van Gelder Edition,jazz,7ysmJhXFQtiBQlk6EZ6sks,0.505,0.159,7,-11.235,0,0.0336,0.946,0.0127,0.212,0.196,59.385,295200,4
44, Wayne Shorter,Infant Eyes - Remastered1998/Rudy Van Gelder Edition,jazz,0IffIW3eyCx9aZ36IqOu5o,0.34,0.0837,3,-12.072,1,0.042,0.985,0.761,0.0945,0.119,138.689,414240,3
45, Thelonious Monk Trio,Blue Monk - Rudy Van Gelder Remaster,jazz,2C3rh8eX5vltOmwrz9I78n,0.444,0.339,3,-16.936,1,0.0418,0.66,0.103,0.163,0.656,142.112,456360,4
46, Dexter Gordon,A Night In Tunisia - Remastered,jazz,5KQ6uddno2Hht84gJDHsPF,0.528,0.583,7,-8.776,0,0.0643,0.592,0.0,0.305,0.671,96.284,495373,4
47, John Coltrane,I'm Old Fashioned - Remastered 2003/Rudy Van Gelder Edition,jazz,5p95DUZplmVxY0XCQ3hxUV,0.394,0.23,3,-10.475,1,0.0348,0.931,0.497,0.0662,0.358,78.319,477760,4
48, Dave Brubeck,Besame Mucho,jazz,1GZD0TZJHmdQaZsucHBmWT,0.517,0.273,10,-17.279,0,0.0627,0.866,0.774,0.979,0.321,63.423,354573,4
49, Chet Baker,If You Could See Me Now,jazz,2QZtOFPATNgKpUJiGUARZk,0.511,0.031,3,-19.636,1,0.0388,0.939,0.898,0.139,0.179,112.911,318413,4
50, Charlie Parker,Summertime,jazz,09g9OlH3RDjbffMAnvBPgw,0.356,0.324,7,-8.699,0,0.0289,0.704,0.0025,0.204,0.438,88.861,166133,4
51, Horace Silver,Song For My Father,jazz,1CDBaGlisZlOJzvx88lL8A,0.742,0.671,5,-8.142,0,0.0407,0.794,0.00441,0.122,0.591,127.359,438280,4
52, Freddie Hubbard,Dedicated To You,jazz,0IxLWzmafWC5VTnpnvykJq,0.38,0.164,7,-14.69,0,0.0452,0.985,0.955,0.125,0.0871,79.03,202640,4
53, Bill Evans,Young And Foolish,jazz,1WygPWqmNs4s2fxtjmtI3O,0.438,0.0172,9,-23.66,1,0.0384,0.973,0.557,0.0815,0.136,100.989,354667,4
54, Sonny Rollins,"He's Younger Than You Are - From ""Alfie"" Score",jazz,11vaRXRIFXJTRr3BuzNbk5,0.417,0.11,5,-16.504,0,0.0405,0.951,0.721,0.174,0.22,57.312,313440,4
55, Art Tatum,Blue Skies,jazz,0ADAFZE0bYIuaIyPNFl3LE,0.443,0.0711,1,-20.146,1,0.0486,0.989,0.894,0.101,0.596,175.02,172293,4
56, Stan Getz João Gilberto Astrud Gilberto Antônio Carlos Jobim,Corcovado (Quiet Nights Of Quiet Stars),jazz,0xcJPMoBe9FenntXbfyx97,0.597,0.128,9,-16.656,0,0.0491,0.959,0.000704,0.123,0.34,128.393,254400,4
57, Miles Davis,Stella By Starlight,jazz,4zxd4tiXPlWMqoJltbVTbE,0.485,0.144,10,-12.824,1,0.0362,0.912,0.000114,0.0965,0.246,86.143,284560,4
58, Thelonious Monk,"Straight, No Chaser",jazz,6YYu8qFzcY1ZyzzsJIQM12,0.465,0.35,3,-12.977,1,0.0403,0.41,0.279,0.135,0.62,93.336,688133,4
59, Wayne Shorter,Speak No Evil,jazz,0mHEBtkQ5H3PhAdWqLunva,0.457,0.395,5,-15.072,0,0.0376,0.652,4.52e-06,0.31,0.479,106.404,505693,3
60, The Dave Brubeck Quartet,Strange Meadow Lark,jazz,0ivpUENLpheuPoa6VuY1ax,0.53,0.143,8,-17.471,1,0.0423,0.958,0.497,0.278,0.119,125.464,442227,4
64, Stan Getz João Gilberto Astrud Gilberto,The Girl From Ipanema,jazz,4xGFcQEIjtmbPD6Jsxq14M,0.641,0.14,8,-16.79,1,0.039,0.867,0.00166,0.105,0.388,129.318,317987,4
65, Sonny Rollins,God Bless the Child,jazz,7DUGRxCf9NFJffb5Eei8Ar,0.493,0.0421,2,-18.071,1,0.0347,0.913,0.173,0.0777,0.172,102.074,447560,4
66, Oscar Peterson Trio,Stormy Weather,jazz,6ffJxrVKkPVW4hiRoiteB2,0.652,0.171,7,-16.1,1,0.0569,0.99,0.864,0.158,0.562,118.883,213387,4
67, Wayne Shorter,Footprints,jazz,2jz7vSAguRJmBHEA4I6C4N,0.515,0.339,7,-16.457,0,0.0283,0.823,0.317,0.109,0.519,135.694,451733,3
68, Dave Holland Quartet,Conference Of The Birds,jazz,2dPWP7FMCxnv4u9Api6WWU,0.392,0.168,10,-22.249,1,0.0442,0.637,0.358,0.198,0.292,123.419,277800,4
69, McCoy Tyner,Search For Peace,jazz,4qRJ7ZJyfzchEd2fjle7Bz,0.456,0.222,0,-16.879,1,0.0354,0.938,0.806,0.24,0.15,112.725,392000,4
70, Keith Jarrett Trio,Pretty Ballad,jazz,3gMMHNUrq3rPeUfgQcAJ2H,0.404,0.0602,11,-26.459,0,0.0422,0.861,0.901,0.703,0.168,106.82,210066,3
71, Yusef Lateef,Love Theme From Spartacus - Remastered,jazz,7yzM0pEseQUpb6BMViOPEA,0.522,0.379,4,-14.096,0,0.0286,0.635,0.925,0.114,0.454,133.698,251600,3
72, Kenny Burrell,Chitlins Con Carne,jazz,18A1V1vsy5YgHFqb4galTw,0.803,0.335,8,-13.331,1,0.0451,0.579,0.0128,0.0849,0.786,132.682,330440,4
73, Lee Morgan,I Remember Clifford,jazz,5LaTsDrhrpXwLniidLpnF7,0.368,0.14,0,-15.005,0,0.045,0.901,0.874,0.0688,0.172,61.758,428973,4
74, Hank Mobley,My Groove Your Move - Rudy Van Gelder Edition,jazz,5wcAcShxT5qvLJvuM6jkZt,0.585,0.375,2,-12.171,0,0.0504,0.78,0.00365,0.0806,0.665,72.59,367400,4
75, Oliver Nelson,Stolen Moments,jazz,4ow1XH4hwe3yOGXG2eTTTY,0.575,0.187,0,-13.081,0,0.0513,0.927,0.876,0.166,0.342,107.469,525613,4
76, Jackie McLean Herbie Hancock,Yams,jazz,57B6gMEI1E4E3kKLKvfX3U,0.571,0.293,0,-11.914,0,0.0385,0.828,0.179,0.112,0.23,82.745,480000,4
77, Kenny Burrell,Midnight Blue - Remastered,jazz,2kF9Ijd7I2Kk2P4bYqUmzG,0.652,0.356,5,-13.733,0,0.0419,0.546,0.000103,0.132,0.56,148.822,242347,4
78, Bud Powell,Polka Dots And Moonbeams - Remastered,jazz,3Wadbk42UtsJOT5mCx9Bb0,0.558,0.0891,2,-17.633,0,0.0643,0.946,0.924,0.0966,0.13,100.523,243773,4
79, Ibrahim Maalouf,True Sorry,jazz,5EzGOkUwkRUXYAyvjlEHah,0.288,0.454,4,-7.639,0,0.0369,0.585,0.882,0.177,0.0792,123.143,291303,4
80, Keith Jarrett,Part VII - Live,jazz,21Jm2Njh72h2WWLSRmiGT5,0.356,0.148,3,-18.135,1,0.035,0.984,0.903,0.0913,0.177,137.737,324224,4
81, ARTEMIS,Nocturno,jazz,5DHU96HUvat8gddLT8IhFO,0.463,0.139,0,-16.971,1,0.0349,0.935,0.938,0.121,0.23,120.984,327379,4
82, Ambrose Akinmusire,Roy,jazz,3HtrgoW2iPVupeM8SU3718,0.399,0.0123,10,-20.625,1,0.0449,0.958,0.485,0.113,0.279,107.924,160720,4
83, Ibrahim Maalouf,Beirut - Duo Version,jazz,41KHQLCpNOnPV0GWqnEhG5,0.348,0.0918,7,-14.536,0,0.0449,0.985,0.944,0.252,0.118,121.418,277000,4
84, Jacob Gurevitsch,Gamla Stan,jazz,0hNhCLpa4cYWwQ5OBCdbu6,0.436,0.326,6,-15.108,0,0.0394,0.977,0.893,0.113,0.22,148.834,325679,4
85, Marcin Wasilewski Trio Joe Lovano,Glimmer Of Hope,jazz,5c83f2kFIeNNch1hvyNwGj,0.338,0.0952,6,-20.218,1,0.0364,0.979,0.801,0.124,0.0537,101.719,513293,3
86, Connie Han,Captain’s Song,jazz,3djYspll15Mm2azjKSV55Y,0.5,0.21,8,-15.766,0,0.0304,0.921,0.84,0.0922,0.12,108.178,322693,4
87, John Scofield Steve Swallow Bill Stewart,Radio,jazz,24XHqHf8NZQqu9x4MPEAWh,0.553,0.196,6,-18.709,0,0.0434,0.786,0.385,0.0922,0.385,104.832,261933,4
88, Keith Jarrett,Answer Me - Live from Budapest,jazz,58eWz82VjBZLNwL6u4li7F,0.534,0.078,0,-21.014,1,0.0739,0.994,0.879,0.108,0.185,133.194,269025,4
89, GoGo Penguin,Don’t Go,jazz,3Aj7zxN0GKJCTXwm7FpePK,0.474,0.162,4,-23.167,0,0.0327,0.946,0.945,0.0868,0.181,149.805,219286,4
90, Athletic Progression,WHITE CRAYON,jazz,2XXfb3FToGrAOZKGJ1Nwhj,0.417,0.45,1,-12.49,1,0.0443,0.148,0.889,0.0869,0.177,81.234,271250,4
91, Marcin Wasilewski Trio Joe Lovano,Vashkar,jazz,3Om7i5Xg1ORaABNTaCnF29,0.344,0.187,7,-17.767,1,0.044,0.903,0.631,0.245,0.143,62.919,356587,4
92, Joshua Redman Brad Mehldau Brian Blade Christian McBride,"Right Back Round Again (feat. Brad Mehldau, Christian McBride & Brian Blade)",jazz,6R2vR6b0jLJaJCZUvyp5Ax,0.576,0.542,6,-10.167,1,0.0344,0.683,0.827,0.0513,0.565,124.019,360680,4
93, Matthieu Saglio Nils Petter Molvær Steve Shehan,Amanecer,jazz,7z6F8O9kR3n3g7zyc1wiAO,0.571,0.264,7,-14.858,0,0.0329,0.721,0.854,0.113,0.333,139.961,392747,5
94, Wallace Roney,Don't Stop Me Now,jazz,5ZR2kBtwXGvaB6naU8qGCJ,0.459,0.465,0,-10.478,0,0.0319,0.726,0.00716,0.0872,0.376,115.035,425453,3
95, Matthew Halsall,The Sun in September,jazz,0rm7lBomgchi6bHaTwi7cL,0.285,0.172,1,-15.8,1,0.0412,0.858,0.965,0.112,0.291,184.416,470091,3
96, Nils Petter Molvær,Khmer,jazz,5VXs7VjhKyExWRE9pAFagq,0.554,0.301,9,-20.369,0,0.0433,0.124,0.891,0.471,0.342,163.966,299427,5
97, Chick Corea,Crystal Silence,jazz,5F8rPLt2c52p0SK7kiH26b,0.203,0.0186,9,-24.277,0,0.0408,0.985,0.377,0.0728,0.0481,76.591,415000,4
98, Matthieu Saglio Vincent Peirani Ricardo Esteve,Bolero Triste,jazz,1ZW12FQBx3KZEkMAX6DxEx,0.548,0.145,0,-13.298,0,0.03,0.884,0.154,0.116,0.373,83.969,326547,4
99, Emil Brandqvist Trio,Raindrops,jazz,1w0IXRQFCFcz2z07pdNH4s,0.321,0.109,5,-21.097,0,0.0365,0.93,0.888,0.124,0.162,70.392,357973,4
100, Steve Tibbetts,Climbing,jazz,3kz6NAOACWLOUKYTQVvFkN,0.618,0.262,9,-24.976,0,0.141,0.82,0.866,0.107,0.0382,180.913,237333,3
101, Terje Rypdal,Speil,jazz,2qJeNizewezb1J0oZ07lTr,0.388,0.0794,9,-21.906,0,0.0298,0.736,0.806,0.0872,0.132,76.573,503840,4
102, Dave Holland Quartet,Conference Of The Birds,jazz,5Vmt3ascqbh0QJCV1een0Q,0.392,0.168,10,-22.249,1,0.0442,0.637,0.358,0.198,0.292,123.419,277800,4
103, Alfa Mist Kaya Thomas-Dyke,Breathe,jazz,6nGNzqlHTKugpRWkXrZkPC,0.332,0.285,9,-13.385,0,0.0307,0.585,0.28,0.0837,0.0395,99.765,447000,3
104, Avishai Cohen Big Vicious,Teardrop,jazz,1o6v06LkvEkYm0H4S12ejd,0.546,0.413,5,-13.508,0,0.0378,0.277,0.889,0.304,0.15,75.605,444600,4
105, Gregoire Maret Romain Collin Bill Frisell,Re: Stacks - Radio Edit,jazz,5LgjJfkiN9BorHEUZV9M53,0.481,0.0848,8,-14.908,1,0.0332,0.941,0.467,0.0865,0.103,125.901,289638,4
106, Miroslav Vitous Terje Rypdal Jack DeJohnette,Maya,jazz,7iB19KaF8Pows0nixti2wo,0.22,0.272,2,-20.885,0,0.0387,0.791,0.973,0.12,0.222,95.786,377600,3
107, Pat Metheny,You Are,jazz,7cD7q524dd5KpU0GRdfB0I,0.456,0.325,5,-14.893,0,0.0343,0.829,0.898,0.0778,0.136,163.572,373445,3
108, Kansas Smitty's,Riders,jazz,0LDytu1PRUdxTZ5YCMIZIC,0.451,0.303,4,-11.883,0,0.0306,0.765,0.906,0.112,0.208,133.533,252280,4
109, Charles Lloyd,Requiem - Live,jazz,0EsPT0KrwqMReT97PWuMMC,0.47,0.241,7,-16.639,0,0.036,0.905,0.598,0.705,0.274,106.392,692624,4
110, Avishai Cohen Yonathan Avishai,Shir Eres (Lullaby),jazz,36wpZ7gr4g48cCcEYvqrOj,0.338,0.0157,5,-23.558,0,0.036,0.995,0.94,0.0874,0.161,78.919,275427,4
111, Houston Person,Willow Weep for Me,jazz,6ttNHrgyK11RvgYOdC6Vpn,0.566,0.347,0,-10.048,1,0.0369,0.868,0.761,0.124,0.425,95.322,488693,4
112, Bremer/McCoy,Højder,jazz,5GWjxdXbCvHozYWvTO8qXr,0.481,0.0647,6,-20.372,1,0.0339,0.909,0.927,0.104,0.233,133.626,263107,1
113, Casey Abrams,Why Don't You Do Right?,jazz,7GwGAzzPjj2adFxY2XcDgN,0.692,0.0287,2,-22.509,0,0.0372,0.955,0.7,0.127,0.275,111.18,180020,4
114, Giovanni Guidi,Avec le temps,jazz,5uBpbSDljWMFtKxMYHsmpY,0.242,0.0736,0,-25.265,1,0.0348,0.965,0.825,0.104,0.0728,81.354,393373,4
115, Avishai Cohen Yonathan Avishai,Azalea,jazz,2Lz03NspvyxfiCjgdtpEVR,0.501,0.0179,5,-21.112,1,0.0417,0.987,0.0135,0.109,0.127,72.993,221000,4
116, Fazer,Lina,jazz,2fYcpbTFptY9uRcaY56NRu,0.475,0.289,5,-20.482,0,0.0531,0.9,0.803,0.109,0.0889,111.487,338926,4
117, Krzysztof Kobylinski Erik Truffaz,Impression E Minor,jazz,5eIUDdG5pFjmshH9CsJgTV,0.449,0.125,4,-14.653,0,0.0365,0.994,0.0604,0.0975,0.5,133.94,222996,4
118, Jakob Bro Palle Mikkelborg Thomas Morgan Jon Christensen,Strands,jazz,5LaxA3Vqu1huHZCQHUXnr3,0.324,0.029,0,-27.551,0,0.0365,0.857,0.806,0.106,0.0388,136.379,284933,4
119, John Surman Nelson Ayres Rob Waring,Autumn Nocturne,jazz,6Jws7Ip1lI09JNDGppRHRv,0.313,0.103,7,-18.886,0,0.048,0.992,0.903,0.101,0.0737,73.377,412267,4
120, Anouar Brahem Dave Holland Jack DeJohnette Django Bates,Opening Day,jazz,7FI4GNCpplLLHihNZPOwKW,0.453,0.149,7,-23.521,0,0.0528,0.849,0.932,0.261,0.304,114.804,421480,1
121, Marc Johnson Bill Frisell John Scofield Peter Erskine,Black Is The Color Of My True Love's Hair,jazz,35HX8z7O4MaVVrT40YEujJ,0.084,0.00835,8,-33.475,0,0.041,0.982,0.943,0.0597,0.0679,83.285,427360,4
122, Mathias Eick,Children,jazz,2zd2XhHfRH0pOyMw1sK0jo,0.52,0.292,8,-15.307,1,0.0325,0.775,0.833,0.222,0.284,86.817,342907,4
123, Oscar Peterson,Stormy Weather,jazz,3wqEq2lsXWO98kHXUvrN9C,0.617,0.317,0,-8.488,1,0.0655,0.993,0.899,0.142,0.555,119.084,214493,4
124, Paolo Fresu Richard Galliano Jan Lundgren,The Windmills of Your Mind,jazz,6Q8m3ux9ww9OMXlK7OrFkL,0.33,0.0685,5,-16.607,0,0.0366,0.991,0.546,0.0858,0.181,77.309,217880,4
125, Anouar Brahem,The Astounding Eyes Of Rita,jazz,6NAXW6IwUyswJk9bHe4y9S,0.529,0.198,7,-19.192,0,0.0378,0.926,0.884,0.0997,0.388,115.107,521880,4
126, Scott Hamilton Gerard Nieto Ignasi González Esteve Pi,Bésame Mucho (Live),jazz,0J6kTSVez9OjHlfoDqAJAB,0.597,0.471,2,-8.24,0,0.038,0.872,0.707,0.686,0.575,123.177,513502,4
127, New Cool Collective,Thierno,jazz,2SdthMHDqydhV2PceC9QBX,0.492,0.291,0,-8.156,0,0.035,0.822,0.257,0.0634,0.383,172.723,274107,4
128, Oscar Peterson,Blue and Sentimental,jazz,35QqECQ42isDX5YsVujptz,0.551,0.114,3,-24.78,0,0.0451,0.977,0.874,0.141,0.124,70.141,146093,4
129, Roy Hargrove,Ruby My Dear,jazz,1czzmAtPTw287TyMQEfCfg,0.412,0.195,8,-10.288,1,0.0331,0.9,0.709,0.106,0.0778,133.918,372493,4
130, Thelonious Monk,'Round Midnight,jazz,1wl5b2lw3YagQtZiYZbQWP,0.542,0.32,8,-9.975,1,0.0387,0.907,0.649,0.0609,0.206,116.648,193840,4
131, Wynton Marsalis,Where or When,jazz,7xUbHoSHkdV7mb9UN1fuzL,0.326,0.0575,4,-16.5,1,0.0393,0.99,0.887,0.281,0.301,127.397,168667,5
132, Chet Baker,That Old Feeling,jazz,2d64G7VaZdHQuAquz5HQNu,0.643,0.175,5,-16.813,0,0.0391,0.633,4.24e-05,0.143,0.642,78.031,183893,4
133, Chick Corea Malcolm Addey,My One And Only Love,jazz,1mPjL8k3EG9hK3CvZcMZBK,0.405,0.27,5,-20.313,0,0.0349,0.799,0.887,0.108,0.51,80.24,216387,4
134, Duke Ellington John Coltrane,My Little Brown Book,jazz,6Q6UjeMuOcxLaL5VBgzUdq,0.482,0.0775,7,-17.185,0,0.0346,0.975,0.0114,0.219,0.233,64.688,323200,3
135, Bill Evans,Gary's Theme - 2003 Remastered Version,jazz,4G3EKvGtqcUSZqPQIWJFxd,0.42,0.0802,7,-21.795,1,0.04,0.905,0.857,0.135,0.0541,122.041,257693,3
136, Lester Young Oscar Peterson Trio,There Will Never Be Another You,jazz,1eghoZLe436O2AHiZaoGVQ,0.559,0.0348,0,-17.576,0,0.0484,0.989,0.231,0.0925,0.382,83.089,208469,4
137, Tord Gustavsen Trio,Curves,jazz,0glr1BX8Zy81l4HvLpmozl,0.515,0.0283,9,-28.954,1,0.0402,0.963,0.927,0.0906,0.0886,100.598,379533,4
138, Julie London,I'm In The Mood For Love,jazz,6crfO56bDm0RjpctUuGs5X,0.581,0.0543,0,-14.595,1,0.0466,0.963,0.000274,0.0968,0.175,124.185,149827,4
139, Roy Hargrove,Trust,jazz,1UceH3dNaxzKSG4qQ1kbp2,0.401,0.317,1,-14.369,1,0.0364,0.898,0.76,0.118,0.0633,116.744,325587,4
140, Wes Montgomery,In Your Own Sweet Way,jazz,0KRjJtrKMJRngSPr4jp1Dl,0.565,0.0694,3,-21.971,1,0.0451,0.992,0.907,0.11,0.0777,121.881,293320,4
141, Stan Getz João Gilberto Astrud Gilberto Antônio Carlos Jobim,Corcovado - Quiet Nights Of Quiet Stars,jazz,5i2sgqnzaxYpvXmGAB592h,0.524,0.108,0,-18.361,1,0.0493,0.957,0.00123,0.139,0.322,127.982,253933,4
142, Oscar Peterson Trio,I Got It Bad And That Ain't Good,jazz,2kpaRWsZTE96rmw0NBfP0c,0.515,0.0551,2,-27.383,0,0.0477,0.972,0.915,0.0878,0.176,50.658,306173,4
143, Chet Baker,It's Always You,jazz,6w4GCn9Tg8iJLUZlN3fxB7,0.514,0.068,8,-18.353,1,0.0415,0.928,0.000115,0.192,0.318,81.856,211893,4
144, Giovanni Guidi Trio,Trilly - Variation,jazz,4gT8dnQ05pxVQecqDNPRlV,0.359,0.0835,7,-24.478,1,0.0345,0.922,0.872,0.127,0.216,69.361,297547,3
145, John Coltrane,Time After Time,jazz,3EeUl7XZAqrU2NoDTZjfdU,0.602,0.262,3,-9.051,1,0.0343,0.947,0.544,0.136,0.323,91.554,462107,4
146, Bremer/McCoy,She's Alive,jazz,1GLnM2xHIG9DdLGESEEA6n,0.511,0.0337,2,-28.338,0,0.0439,0.985,0.931,0.0957,0.25,59.329,131000,4
147, Erik Söderlind Fredrik Lindborg Kjell Öhman Kenji Rabson Moussa Fadera,Grandmother's Dream,jazz,1q9lbtvwfAekaD6ScD7h2t,0.478,0.147,11,-18.729,0,0.0375,0.964,0.892,0.115,0.151,103.978,258840,4
